Strain,mimp1,mimp2,mimp4,mn8,mn14,mn4,mn3,mn2,impalaORF
Fxyl_392254,18,8,8,2,0,0,0,0,Intact
Fxyl_392277,18,7,8,0,0,0,0,0,Intact
Fxyl_392674,12,5,7,2,0,0,0,0,Intact
Fxyl_127659,10,7,8,0,0,1,0,0,Intact
Fxyl_375908,6,1,5,2,0,1,0,0,Intact
Fxyl_389563,5,1,5,2,0,1,0,0,Intact
Foxy_141109,6,7,9,2,2,2,0,0,Intact
Foxy_292248,3,4,8,4,0,6,0,6,Intact
Foxy_244509,2,5,11,2,2,6,0,0,Intact
Foxy_337541,28,12,25,6,2,8,0,4,Absent
Foxy_500221,15,7,12,6,1,2,0,0,Absent
Fsol_392280,0,0,0,0,0,0,0,0,Absent
Foly_4287,23,10,25,2,1,10,8,4,Intact
Fant_14957,0,0,0,0,0,0,0,0,Absent
Ffuj_LW94,0,0,0,0,0,0,0,0,Absent
Ffuj_Y057,0,0,0,0,0,0,0,0,Absent
Fgram_11579,0,0,0,0,0,0,0,0,Absent
Fgram_PH1,0,0,0,0,0,0,0,0,Absent
Focu_b16,0,0,0,0,0,0,0,0,Intact
Focu_race1,0,0,0,0,0,0,0,0,Absent
Focu_TR4,0,0,0,0,0,0,0,0,Absent
Foly_MN25,0,0,0,0,0,0,0,0,Intact
Fopi_HDV247,0,0,0,0,0,0,0,0,Intact
Forapa_Tf1208,0,0,0,0,0,0,0,0,Intact
Foraph_54005,0,0,0,0,0,0,0,0,Absent
Foraph_Tf1262,0,0,0,0,0,0,0,0,Intact
Fova_25433,0,0,0,0,0,0,0,0,Intact
Foxy_F047BC,0,0,0,0,0,0,0,0,Intact
Fphy_13617,0,0,0,0,0,0,0,0,Absent
Fpro_02157,0,0,0,0,0,0,0,0,Absent
Fpro_13237,0,0,0,0,0,0,0,0,Absent
Fsol_352657,0,0,0,0,0,0,0,0,Absent
Fudu_F02845,0,0,0,0,0,0,0,0,Absent
Fver_14953,0,0,0,0,0,0,0,0,Absent
Fver_7600,0,0,0,0,0,0,0,0,Absent
Fxyl_379925,0,0,0,0,0,0,0,0,Intact
Fxyl_392268,0,0,0,0,0,0,0,0,Intact
Fxyl_392676,0,0,0,0,0,0,0,0,Intact
Fxyl_507035,0,0,0,0,0,0,0,0,Intact
Fxyl_507038,0,0,0,0,0,0,0,0,Intact
Fxyl_507113,0,0,0,0,0,0,0,0,Intact
Fxyl_L0394,0,0,0,0,0,0,0,0,Intact
