contig	start	end	key	HTR
13	530000	540000	13-530000-540000	HTR1
13	540000	550000	13-540000-550000	HTR1
13	550000	560000	13-550000-560000	HTR1
13	560000	570000	13-560000-570000	HTR1
13	570000	580000	13-570000-580000	HTR1
13	580000	590000	13-580000-590000	HTR1
13	660000	670000	13-660000-670000	HTR1
13	680000	690000	13-680000-690000	HTR1
13	690000	700000	13-690000-700000	HTR1
13	700000	710000	13-700000-710000	HTR1
13	710000	720000	13-710000-720000	HTR1
13	720000	730000	13-720000-730000	HTR1
3	1320000	1330000	3-1320000-1330000	HTR2
3	1330000	1340000	3-1330000-1340000	HTR2
3	1340000	1350000	3-1340000-1350000	HTR2
7	4340000	4350000	7-4340000-4350000	HTR3
7	4350000	4360000	7-4350000-4360000	HTR3
7	4360000	4370000	7-4360000-4370000	HTR3
7	4370000	4380000	7-4370000-4380000	HTR3
7	4380000	4390000	7-4380000-4390000	HTR3
11	460000	470000	11-460000-470000	HTR4
11	470000	480000	11-470000-480000	HTR4
6	10000	20000	6-10000-20000	HTR5
6	20000	30000	6-20000-30000	HTR5
6	40000	50000	6-40000-50000	HTR5
6	50000	60000	6-50000-60000	HTR5
6	60000	70000	6-60000-70000	HTR5
6	70000	80000	6-70000-80000	HTR5
6	80000	90000	6-80000-90000	HTR5
6	90000	100000	6-90000-100000	HTR5
scaffold_709_Robusta254	1	24940	HTR6
