Name	Description
Fxyl394_contig-13	Fusarium xylarioides robusta
Fxyl254_scaffold-709	Fusarium xylarioides robusta
Fxyl277_scaffold-724	Fusarium xylarioides robusta
Fxyl659_contig-6	Fusarium xylarioides coffea1
Fxyl268_scaffold-672	Fusarium xylarioides robusta
Fxyl925_scaffold-489	Fusarium xylarioides robusta
Fxyl676_contig-6	Fusarium xylarioides coffea1
Fxyl674_contig-9	Fusarium xylarioides coffea2
Fxyl035_scaffold-867	Fusarium xylarioides coffea2
Fxyl113_scaffold-827	Fusarium xylarioides coffea2
CP104051	Fusarium falciforme strain Fu3.1 chromosome 2
CP109669	Fusarium avenaceum strain WV21P1A chromosome 7
CP052038	Fusarium oxysporum Fo47 chromosome I
CP128299	Fusarium oxysporum strain Fo5176 chromosome 1
XM_018397452	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_17447), mRNA"
CP052908	Fusarium oxysporum f. sp. koae isolate 44 chromosome LSX
XM_018397460	"Fusarium oxysporum f. sp. lycopersici 4287 squalene-hopene cyclase (FOXG_17453), mRNA"
XM_018397455	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_17449), mRNA"
CP115883	Fusarium oxysporum f. sp. cubense strain race 4 chromosome 9
CP052893	Fusarium oxysporum isolate 170 chromosome 11
XM_018397459	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_17452), mRNA"
XM_018397458	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_17451), mRNA"
XM_018397463	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_17456), partial mRNA"
XM_018397454	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_17449), mRNA"
XM_018397453	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_17448), partial mRNA"
XM_018397461	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_17454), partial mRNA"
CP103000	Fusarium pseudograminearum strain Fp22-2 chromosome 4
CP130304	Fusarium oxysporum f. sp. vasinfectum isolate ME23 chromosome 8
CP052904	Fusarium oxysporum f. sp. koae isolate 44 chromosome 10
CP128287	Fusarium oxysporum strain Fo5176 chromosome 17
CP128284	Fusarium oxysporum strain Fo5176 chromosome 10
CP130308	Fusarium oxysporum f. sp. vasinfectum isolate ME23 chromosome 12
CP128291	Fusarium oxysporum strain Fo5176 chromosome 14
CP052044	Fusarium oxysporum Fo47 chromosome VII
CP104261	Fusarium vorosii strain W15A1 chromosome 3
CP104259	Fusarium vorosii strain W15A1 chromosome 1
CP130309	Fusarium oxysporum f. sp. vasinfectum isolate ME23 chromosome 13
XM_044858222	"Fusarium poae uncharacterized protein (FPOAC1_013882), partial mRNA"
XM_044851664	"Fusarium poae uncharacterized protein (FPOAC1_007196), partial mRNA"
XM_044848495	"Fusarium poae uncharacterized protein (FPOAC1_003940), partial mRNA"
CP104255	Fusarium vorosii strain RN1 chromosome 1
XM_059610389	"Fusarium oxysporum Fo47 P-loop containing nucleoside triphosphate hydrolase protein (FOBCDRAFT_241728), partial mRNA"
XM_046129634	"Fusarium flagelliforme P-loop containing nucleoside triphosphate hydrolase protein (B0J16DRAFT_359173), partial mRNA"
XM_018397462	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_17455), mRNA"
CP130308	Fusarium oxysporum f. sp. vasinfectum isolate ME23 chromosome 12
CP052908	Fusarium oxysporum f. sp. koae isolate 44 chromosome LSX
CP128295	Fusarium oxysporum strain Fo5176 chromosome 4
CP128298	Fusarium oxysporum strain Fo5176 chromosome 2
CP128295	Fusarium oxysporum strain Fo5176 chromosome 4
CP079915	Fusarium verticillioides isolate ITEM 10027 chromosome 12
CP130308	Fusarium oxysporum f. sp. vasinfectum isolate ME23 chromosome 12
CP128298	Fusarium oxysporum strain Fo5176 chromosome 2
CP052893	Fusarium oxysporum isolate 170 chromosome 11
XM_018397455	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_17449), mRNA"
XM_018397454	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_17449), mRNA"
CP128295	Fusarium oxysporum strain Fo5176 chromosome 4
CP128295	Fusarium oxysporum strain Fo5176 chromosome 4
CP052893	Fusarium oxysporum isolate 170 chromosome 11
XM_018397462	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_17455), mRNA"
XM_018397457	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_17450), mRNA"
XM_018397456	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_17450), mRNA"
XM_018397457	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_17450), mRNA"
XM_018397456	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_17450), mRNA"
XM_018397459	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_17452), mRNA"
CP052893	Fusarium oxysporum isolate 170 chromosome 11
XM_018397462	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_17455), mRNA"
XM_018397454	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_17449), mRNA"
XM_044851791	"Fusarium poae uncharacterized protein (FPOAC1_007323), partial mRNA"
