Name	Description
CP052889	Fusarium oxysporum isolate 170 chromosome 7
CP052901	Fusarium oxysporum f. sp. koae isolate 44 chromosome 7
CP128293	Fusarium oxysporum strain Fo5176 chromosome 12
CP052042	Fusarium oxysporum Fo47 chromosome V
CP115880	Fusarium oxysporum f. sp. cubense strain race 4 chromosome 6
CP130300	Fusarium oxysporum f. sp. vasinfectum isolate ME23 chromosome 4
CP128295	Fusarium oxysporum strain Fo5176 chromosome 4
CP151267	Fusarium acuminatum isolate 1A chromosome 8
CP128282	Fusarium oxysporum strain Fo5176 chromosome 18
CP128283	Fusarium oxysporum strain Fo5176 chromosome 16
CP128298	Fusarium oxysporum strain Fo5176 chromosome 2
CP128285	Fusarium oxysporum strain Fo5176 chromosome 13
CP128291	Fusarium oxysporum strain Fo5176 chromosome 14
CP052044	Fusarium oxysporum Fo47 chromosome VII
CP128296	Fusarium oxysporum strain Fo5176 chromosome 3
CP023093	Fusarium fujikuroi strain Augusto2 chromosome V
CP023081	Fusarium fujikuroi strain CSV1 chromosome V
CP128304	Fusarium proliferatum strain NRRL62905 chromosome 5
HF679027	"Fusarium fujikuroi IMI 58289 draft genome, chromosome FFUJ_chr05"
CP128288	Fusarium oxysporum strain Fo5176 chromosome 11
XM_023577242	"Fusarium fujikuroi IMI 58289 uncharacterized protein (FFUJ_07034), partial mRNA"
XM_041830759	"Fusarium mangiferae uncharacterized protein (FMAN_07168), partial mRNA"
XM_037352233	"Fusarium tjaetaba galactosyl transferase (FTJAE_5699), partial mRNA"
XM_044823713	"Fusarium musae uncharacterized protein (J7337_006047), partial mRNA"
XM_031234347	"Fusarium proliferatum ET1 uncharacterized protein (FPRO_07580), partial mRNA"
XM_036677189	"Fusarium subglutinans galactosyl transferase (FSUBG_12404), partial mRNA"
CP114045	Fusarium verticillioides strain 7600 chromosome 5
CP079907	Fusarium verticillioides isolate ITEM 10027 chromosome 4
XM_031183431	"Fusarium oxysporum Fo47 uncharacterized protein (FOBCDRAFT_182260), mRNA"
XM_031209558	"Fusarium odoratissimum NRRL 54006 uncharacterized protein (FOIG_09318), mRNA"
XM_046189957	"Fusarium redolens uncharacterized protein (BKA55DRAFT_537767), partial mRNA"
XM_031165425	"Fusarium coffeatum uncharacterized protein (FIESC28_11299), partial mRNA"
CP128289	Fusarium oxysporum strain Fo5176 chromosome 8
CP052046	Fusarium oxysporum Fo47 chromosome IX
XM_018383046	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_04986), mRNA"
XM_018890744	"Fusarium verticillioides 7600 hypothetical protein (FVEG_03146), mRNA"
CP115877	Fusarium oxysporum f. sp. cubense strain race 4 chromosome 3
CP115879	Fusarium oxysporum f. sp. cubense strain race 4 chromosome 5
CP130308	Fusarium oxysporum f. sp. vasinfectum isolate ME23 chromosome 12
CP052893	Fusarium oxysporum isolate 170 chromosome 11
KP964987	"Fusarium oxysporum f. sp. cepae isolate FUS2 secreted in xylem 10 (SIX10) gene, complete cds"
XM_046134579	"Fusarium flagelliforme uncharacterized protein (B0J16DRAFT_85582), mRNA"
CP151264	Fusarium acuminatum isolate 1A chromosome 5
XM_009260549	"Fusarium pseudograminearum CS3096 uncharacterized protein (FPSE_07431), partial mRNA"
CP110205	Clonostachys rosea strain CR-7 chromosome 4
CP052908	Fusarium oxysporum f. sp. koae isolate 44 chromosome LSX
MK906673	"Fusarium oxysporum isolate Fus402 secreted in xylem 10 (SIX10) gene, complete cds"
XM_044848020	"Fusarium poae uncharacterized protein (FPOAC1_003454), partial mRNA"
MK906669	"Fusarium oxysporum isolate Fus125 secreted in xylem 10 (SIX10) gene, complete cds"
MK906672	"Fusarium oxysporum isolate Fus400 secreted in xylem 10 (SIX10) gene, complete cds"
MK906671	"Fusarium oxysporum isolate Fus129 secreted in xylem 10 (SIX10) gene, complete cds"
MK906670	"Fusarium oxysporum isolate Fus127 secreted in xylem 10 (SIX10) gene, complete cds"
MK906668	"Fusarium oxysporum isolate Fus062 secreted in xylem 10 (SIX10) gene, complete cds"
CP104259	Fusarium vorosii strain W15A1 chromosome 1
CP104260	Fusarium vorosii strain W15A1 chromosome 2
CP130309	Fusarium oxysporum f. sp. vasinfectum isolate ME23 chromosome 13
LT222055	"Fusarium graminearum genome assembly, chromosome: III"
CP104256	Fusarium vorosii strain RN1 chromosome 2
LC648777	"Fusarium oxysporum f. sp. pisi YPPS 9-1-M-2 SIX10 gene for secreted in xylem 10, complete cds"
MW939421	"Fusarium oxysporum f. sp. cepae isolate Fox129 secreted in xylem 10 (SIX10) gene, complete cds"
MW939415	"Fusarium oxysporum f. sp. cepae isolate Fox220a secreted in xylem 10 (SIX10) gene, complete cds"
MW939407	"Fusarium oxysporum f. sp. cepae isolate Fox260 secreted in xylem 10 (SIX10) gene, complete cds"
CP151262	Fusarium acuminatum isolate 1A chromosome 3
CP052049	Fusarium oxysporum Fo47 chromosome XII
CP128287	Fusarium oxysporum strain Fo5176 chromosome 17
KM893928	"Fusarium oxysporum f. sp. lini isolate FRL11810 secreted in xylem 7 (SIX7) gene, partial cds"
MK906665	"Fusarium oxysporum isolate Fol1 secreted in xylem 10 (SIX10) gene, complete cds"
MK906667	"Fusarium oxysporum isolate Fol3 secreted in xylem 10 (SIX10) gene, complete cds"
MK906666	"Fusarium oxysporum isolate Fol2 secreted in xylem 10 (SIX10) gene, complete cds"
KM893929	"Fusarium oxysporum f. sp. lini isolate FRL11811 secreted in xylem 7 (SIX7) gene, partial cds"
MW939413	"Fusarium oxysporum f. sp. cepae isolate Fox220a secreted in xylem 7 (SIX7) gene, complete cds"
MW939405	"Fusarium oxysporum f. sp. cepae isolate Fox260 secreted in xylem 7 (SIX7) gene, complete cds"
LT160066	"Fusarium oxysporum f. sp. niveum partial Fonsix6 gene for secreted in xylem protein, strain race 1"
KP964968	"Fusarium oxysporum f. sp. cepae isolate FUS2 secreted in xylem 7 (SIX7) gene, complete cds"
CP147678	Fusarium graminearum strain KSU23522 chromosome 2
CP151260	Fusarium acuminatum isolate 1A chromosome 1
KX435050	"Fusarium oxysporum f. sp. zingiberi strain BRIP39299 secreted in xylem 7 (SIX7) gene, complete cds"
XM_031183432	"Fusarium oxysporum Fo47 major facilitator superfamily domain-containing protein (FOBCDRAFT_239718), partial mRNA"
OP490285	"Fusarium oxysporum isolate FUS16154 secreted in xylem 7 (SIX7) gene, complete cds"
XM_025732126	"Fusarium venenatum uncharacterized protein (EDB82DRAFT_6534), mRNA"
MK906623	"Fusarium oxysporum isolate Fus129 secreted in xylem 7 (SIX7) gene, complete cds"
