Name	Description
Fxyl908_contig-7	Fusarium xylarioides arabica
Fxyl038_contig-7	Fusarium xylarioides arabica
Fxyl563_contig-7	Fusarium xylarioides arabica
CP128283	Fusarium oxysporum strain Fo5176 chromosome 16
CP052908	Fusarium oxysporum f. sp. koae isolate 44 chromosome LSX
CP128298	Fusarium oxysporum strain Fo5176 chromosome 2
CP128295	Fusarium oxysporum strain Fo5176 chromosome 4
CP128285	Fusarium oxysporum strain Fo5176 chromosome 13
CP128291	Fusarium oxysporum strain Fo5176 chromosome 14
CP052044	Fusarium oxysporum Fo47 chromosome VII
CP052893	Fusarium oxysporum isolate 170 chromosome 11
CP023107	Fusarium fujikuroi strain I1.3 chromosome VII
CP128308	Fusarium proliferatum strain NRRL62905 chromosome 9
CP023104	Fusarium fujikuroi strain I1.3 chromosome IV
CP023103	Fusarium fujikuroi strain I1.3 chromosome III
HF679024	"Fusarium fujikuroi IMI 58289 draft genome, chromosome FFUJ_chr02"
CP023078	Fusarium fujikuroi strain CSV1 chromosome II
HF679030	"Fusarium fujikuroi IMI 58289 draft genome, chromosome FFUJ_chr08"
CP079908	Fusarium verticillioides isolate ITEM 10027 chromosome 5
CP023096	Fusarium fujikuroi strain Augusto2 chromosome VIII
CP023084	Fusarium fujikuroi strain CSV1 chromosome VIII
CP023111	Fusarium fujikuroi strain I1.3 chromosome XI
CP023110	Fusarium fujikuroi strain I1.3 chromosome X
CP023090	Fusarium fujikuroi strain Augusto2 chromosome II
CP023102	Fusarium fujikuroi strain I1.3 chromosome II
CP023101	Fusarium fujikuroi strain I1.3 chromosome I
CP052891	Fusarium oxysporum isolate 170 chromosome 9
CP023105	Fusarium fujikuroi strain I1.3 chromosome V
CP052895	Fusarium oxysporum isolate 170 chromosome 13
CP128293	Fusarium oxysporum strain Fo5176 chromosome 12
CP052042	Fusarium oxysporum Fo47 chromosome V
CP130300	Fusarium oxysporum f. sp. vasinfectum isolate ME23 chromosome 4
CP115880	Fusarium oxysporum f. sp. cubense strain race 4 chromosome 6
CP052885	Fusarium oxysporum isolate 170 chromosome 1
CP052900	Fusarium oxysporum f. sp. koae isolate 44 chromosome 5
CP052038	Fusarium oxysporum Fo47 chromosome I
CP023108	Fusarium fujikuroi strain I1.3 chromosome VIII
XM_018395229	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_15159), mRNA"
XM_018395228	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_15159), mRNA"
XM_054706316	"Fusarium oxysporum Fo47 uncharacterized protein (FOBCDRAFT_228510), mRNA"
HF679023	"Fusarium fujikuroi IMI 58289 draft genome, chromosome FFUJ_chr01"
CP023089	Fusarium fujikuroi strain Augusto2 chromosome I
CP023077	Fusarium fujikuroi strain CSV1 chromosome I
XM_041826272	"Fusarium mangiferae uncharacterized protein (FMAN_14251), partial mRNA"
XM_018394390	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_14321), partial mRNA"
CP128284	Fusarium oxysporum strain Fo5176 chromosome 10
XM_046196158	"Fusarium redolens uncharacterized protein (BKA55DRAFT_598026), partial mRNA"
CP130309	Fusarium oxysporum f. sp. vasinfectum isolate ME23 chromosome 13
CP128288	Fusarium oxysporum strain Fo5176 chromosome 11
CP115886	Fusarium oxysporum f. sp. cubense strain race 4 chromosome 12
CP052906	Fusarium oxysporum f. sp. koae isolate 44 chromosome 12
CP052894	Fusarium oxysporum isolate 170 chromosome 12
CP130308	Fusarium oxysporum f. sp. vasinfectum isolate ME23 chromosome 12
CP130306	Fusarium oxysporum f. sp. vasinfectum isolate ME23 chromosome 10
CP052048	Fusarium oxysporum Fo47 chromosome XI
CP079831	Fusarium graminearum strain FG-12 chromosome 3
CP052896	Fusarium oxysporum isolate 170 chromosome LSX
CP115877	Fusarium oxysporum f. sp. cubense strain race 4 chromosome 3
AF076632	Fusarium oxysporum transposable element Fot4
CP128292	Fusarium oxysporum strain Fo5176 chromosome 7
XM_018392218	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_12429), mRNA"
CP115879	Fusarium oxysporum f. sp. cubense strain race 4 chromosome 5
XM_018401797	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_21458), partial mRNA"
CP128282	Fusarium oxysporum strain Fo5176 chromosome 18
CP114041	Fusarium verticillioides strain 7600 chromosome 1
CP114045	Fusarium verticillioides strain 7600 chromosome 5
CP079916	Fusarium verticillioides isolate ITEM 10027 chromosome 13
CP079912	Fusarium verticillioides isolate ITEM 10027 chromosome 9
CP114046	Fusarium verticillioides strain 7600 chromosome 6
CP114044	Fusarium verticillioides strain 7600 chromosome 4
CP114042	Fusarium verticillioides strain 7600 chromosome 2
CP079914	Fusarium verticillioides isolate ITEM 10027 chromosome 11
CP079913	Fusarium verticillioides isolate ITEM 10027 chromosome 10
CP079911	Fusarium verticillioides isolate ITEM 10027 chromosome 8
CP114051	Fusarium verticillioides strain 7600 chromosome 11
CP114047	Fusarium verticillioides strain 7600 chromosome 7
CP079909	Fusarium verticillioides isolate ITEM 10027 chromosome 6
CP079907	Fusarium verticillioides isolate ITEM 10027 chromosome 4
CP114048	Fusarium verticillioides strain 7600 chromosome 8
CP079906	Fusarium verticillioides isolate ITEM 10027 chromosome 3
CP114050	Fusarium verticillioides strain 7600 chromosome 10
CP114043	Fusarium verticillioides strain 7600 chromosome 3
CP079904	Fusarium verticillioides isolate ITEM 10027 chromosome 1
XM_046185089	"Fusarium redolens uncharacterized protein (BKA55DRAFT_194666), mRNA"
XM_018392219	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_12429), mRNA"
XM_018385163	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_06471), partial mRNA"
