Strain	_Fant_25214	_Ffuj_LW94	_Fgram_PH1	_Focu_TR4	_Foly_4287	_Foxy_141109	_Foxy_244509	_Foxy_292248	_Foxy_337541	_Foxy_47	_Foxy_500221	_Fphy_13617	_Fpro_ET1	_Fsol_392280	_Fver_7600	_Fxyl_127659	_Fxyl_375908	_Fxyl_379925	_Fxyl_389563	_Fxyl_392254	_Fxyl_392268	_Fxyl_392277	_Fxyl_392674	_Fxyl_392676	_Fxyl_507035	_Fxyl_507038	_Fxyl_507113	_Fxyl_L0394
Fant_25214_cds	99.9749	91.0959	78.5528	90.3733	90.3502	90.6393	90.4842	90.424	90.0408	89.9791	90.0336	91.7631	90.7442	75.2163	91.6919	91.6018	91.5687	91.5825	91.3001	91.5929	91.682	91.6097	91.6052	91.5976	91.5787	91.5764	91.7042	91.5738
Ffuj_LW94_cds	90.8881	99.9831	78.5833	90.7719	90.6594	90.93	90.8083	90.726	90.4546	90.33	90.463	91.7329	96.5313	75.241	91.5798	91.6117	91.585	91.5913	91.3462	91.6195	91.6616	91.6204	91.643	91.6439	91.6221	91.607	91.7733	91.5795
Fgram_PH1_cds	78.2312	78.3332	99.991	78.5252	78.8276	78.6811	78.5745	78.5745	78.5231	78.3605	78.4957	78.442	78.1964	75.3567	78.781	78.4486	78.3712	78.4067	78.403	78.4328	78.4427	78.4098	78.4597	78.4404	78.419	78.4399	78.5176	78.4217
Focu_TR4_cds	90.7074	91.1831	79.0047	99.9471	96.0339	97.1858	96.8709	96.9012	96.288	96.3109	96.3563	91.5037	90.738	75.428	91.3526	91.3804	91.3471	91.3871	91.0979	91.3784	91.4135	91.3883	91.4355	91.4081	91.4091	91.3901	91.5735	91.3636
Foly_4287_cds	90.531	90.9901	78.9193	96.6124	99.8924	97.1492	97.0702	97.1173	96.4764	97.3682	96.4258	91.366	90.6245	75.3982	91.2949	91.2053	91.1822	91.201	90.9224	91.1909	91.2524	91.2151	91.2012	91.2108	91.184	91.2226	91.3308	91.1857
Foxy_141109_cds	90.5753	91.0594	78.9128	96.8511	96.221	99.9398	97.4712	97.394	96.7166	96.4034	96.7844	91.4076	90.7887	75.3881	91.3183	91.3724	91.3839	91.39	91.119	91.4135	91.4196	91.3991	91.4122	91.3847	91.3908	91.4047	91.5457	91.3749
Foxy_244509_cds	90.605	91.1196	78.9524	96.7435	96.2011	97.7038	99.9584	98.1323	97.4147	96.489	97.4416	91.5082	90.815	75.4387	91.4218	91.4314	91.4603	91.415	91.1676	91.4363	91.4479	91.4288	91.5185	91.4317	91.4814	91.4769	91.6289	91.4158
Foxy_292248_cds	90.5469	91.0761	78.9673	96.7831	96.4169	97.7338	98.2071	99.9671	97.8892	96.6029	98.0007	91.4369	90.7468	75.4343	91.3964	91.3872	91.4099	91.4156	91.106	91.4395	91.4594	91.4205	91.4705	91.4122	91.4283	91.4407	91.5749	91.4037
Foxy_337541_cds	90.4675	91.0369	78.9358	96.3465	96.0407	97.4464	97.881	98.3594	99.8305	96.338	97.8062	91.3658	90.698	75.4338	91.357	91.3502	91.324	91.3398	91.0559	91.3697	91.3794	91.3627	91.4203	91.3661	91.3658	91.3454	91.529	91.3415
Foxy_47_cds	90.5918	91.1154	78.9423	96.8393	97.0853	97.1872	97.1897	97.1963	96.5975	99.8972	96.5596	91.4762	90.7036	75.3784	91.3438	91.2941	91.2874	91.2845	91.0563	91.286	91.3206	91.292	91.3539	91.2998	91.3391	91.3275	91.4837	91.2648
Foxy_500221_cds	90.5015	91.0704	78.9204	96.4734	96.1224	97.5803	98.047	98.5367	97.881	96.4178	99.8682	91.4092	90.6895	75.405	91.3843	91.3142	91.3254	91.3627	91.0375	91.3703	91.3839	91.3627	91.403	91.3557	91.3563	91.3669	91.5036	91.3497
Fphy_13617_cds	91.4384	91.5864	78.6783	90.8662	90.9018	91.1285	91.0381	90.904	90.603	90.4745	90.653	99.9807	91.2495	75.2989	92.6751	95.2408	95.1718	95.2439	95.0243	95.2665	95.3045	95.265	95.2833	95.2701	95.2483	95.2167	95.3799	95.2471
Fpro_ET1_cds	90.8839	96.8418	78.6036	90.6456	90.5153	90.8952	90.7576	90.6938	90.3891	90.2	90.3761	91.6957	99.9636	75.1592	91.5703	91.5782	91.5736	91.5529	91.283	91.5651	91.6097	91.5872	91.6199	91.6043	91.5901	91.5779	91.7455	91.5408
Fsol_392280_cds	75.19	75.3331	75.6482	75.2936	75.8243	75.5063	75.4439	75.3958	75.4642	75.2132	75.3345	75.397	75.1213	99.9417	75.8408	75.4494	75.396	75.3679	75.3686	75.3763	75.4333	75.3864	75.4635	75.4321	75.431	75.4721	75.5131	75.3616
Fver_7600_cds	90.8181	90.9342	78.5967	90.2038	90.2562	90.4181	90.3536	90.3246	90.0039	89.9464	90.0567	92.1791	90.6176	75.2518	99.9783	92.0169	91.98	92.0138	91.7484	92.008	92.0504	92.0139	92.0469	92.0288	92.0329	92.0029	92.1674	91.9979
Fxyl_127659_cds	91.2191	91.4262	78.5975	90.8338	90.6707	91.0681	90.9781	90.9124	90.5448	90.3884	90.6065	95.1712	91.0924	75.2866	92.4544	99.9829	98.8651	99.2849	98.6117	99.2686	99.3037	99.2692	99.0563	99.8738	99.0409	98.9	99.0478	99.283
Fxyl_375908_cds	91.2389	91.4332	78.6165	90.8163	90.7384	91.1064	91.0084	90.8795	90.5274	90.4336	90.581	95.1873	91.1468	75.2726	92.4716	98.8681	99.9915	98.8256	99.6105	98.8343	98.8277	98.8215	98.9034	98.8857	98.859	99.8555	98.9032	98.833
Fxyl_379925_cds	91.2675	91.4456	78.6005	90.8204	90.6628	91.0618	90.9272	90.9173	90.5266	90.4017	90.6336	95.2064	91.0716	75.264	92.4483	99.315	98.8276	99.9873	98.5687	99.8831	99.8436	99.8694	99.1461	99.3217	99.1257	98.8413	99.1469	99.9017
Fxyl_389563_cds	91.2722	91.5031	78.6969	90.8859	90.7982	91.1079	90.9865	90.8572	90.5422	90.506	90.5816	95.3116	91.1598	75.3287	92.5288	98.7994	99.7584	98.7499	99.9785	98.7397	98.7468	98.7343	98.8318	98.8107	98.8026	99.7689	98.8387	98.7578
Fxyl_392254_cds	91.2625	91.4294	78.6055	90.814	90.6419	91.0515	90.9176	90.9077	90.5015	90.3859	90.6229	95.1892	91.0616	75.2268	92.432	99.2933	98.8234	99.8555	98.5546	99.9786	99.8221	99.859	99.1349	99.3165	99.1163	98.8279	99.1369	99.8663
Fxyl_392268_cds	91.3138	91.4203	78.5914	90.8218	90.6713	91.0579	90.9276	90.9183	90.5202	90.3842	90.6066	95.1731	91.0606	75.2735	92.4518	99.269	98.7676	99.764	98.4923	99.762	99.9823	99.7634	99.0644	99.2892	99.0722	98.8055	99.079	99.7662
Fxyl_392277_cds	91.2819	91.4427	78.597	90.8416	90.6769	91.0632	90.9426	90.9116	90.5214	90.3915	90.6261	95.1914	91.0793	75.2542	92.4382	99.3165	98.8195	99.8627	98.5652	99.8855	99.8404	99.9841	99.1441	99.3223	99.111	98.8484	99.1435	99.8742
Fxyl_392674_cds	91.1986	91.3909	78.595	90.8534	90.614	91.0869	90.9552	90.9152	90.5385	90.4489	90.6285	95.1586	91.0919	75.2718	92.3707	99.0322	98.8311	99.06	98.5673	99.0774	99.0659	99.0665	99.9865	99.0251	99.8496	98.8487	99.8532	99.0757
Fxyl_392676_cds	91.2196	91.4341	78.5914	90.8328	90.6556	91.0847	90.9983	90.9294	90.5592	90.4068	90.6283	95.1938	91.1103	75.2662	92.4681	99.862	98.8634	99.271	98.5991	99.2716	99.3165	99.2627	99.0523	99.9879	99.0617	98.9058	99.0765	99.2707
Fxyl_507035_cds	91.2154	91.3998	78.5766	90.7889	90.6162	91.067	90.9531	90.89	90.5198	90.4264	90.5988	95.1755	91.0909	75.2638	92.4298	99.0216	98.8091	99.0461	98.5559	99.0583	99.0854	99.0429	99.8411	99.0485	99.9901	98.8489	99.8832	99.0605
Fxyl_507038_cds	91.2065	91.4074	78.6198	90.8222	90.7025	91.0813	90.9893	90.8489	90.523	90.4104	90.5694	95.1722	91.0844	75.2951	92.4219	98.8428	99.8191	98.7886	99.5802	98.779	98.8124	98.7914	98.8745	98.879	98.8549	99.9884	98.8878	98.8037
Fxyl_507113_cds	91.2425	91.4588	78.634	90.8611	90.6728	91.1282	90.9893	90.9458	90.5936	90.4701	90.6578	95.163	91.1328	75.288	92.4599	98.8906	98.7385	98.9351	98.4927	98.9452	98.9582	98.9412	99.7202	98.9377	99.761	98.7739	99.9873	98.958
Fxyl_L0394_cds	91.2702	91.4176	78.6044	90.8137	90.6576	91.0441	90.9285	90.9056	90.5021	90.4066	90.6201	95.1867	91.0556	75.244	92.4342	99.2814	98.8009	99.862	98.5386	99.8561	99.8149	99.8486	99.1359	99.2967	99.1151	98.8107	99.1368	99.9868
