OG	old annot	new annot
six10	Fxyl908|g2210.t1	
pelD	Fxyl908|g11627.t1	H9Q74_0003935-T1
mimp	Fxyl908|g12007.t1	H9Q74_0002248-T1
fow1	Fxyl908|g8657.t1	H9Q74_0010608-T1
pelA	Fxyl908|g6611.t1	H9Q74_0011047-T1
fmk1	Fxyl908|g9791.t1	H9Q74_0012246-T1
orx1	Fxyl908|g14107.t1	H9Q74_0001729-T1
catalase-peroxidase	Fxyl908|g6809.t1	H9Q74_0002347-T1
rho1.2	Fxyl908|g11755.t1	H9Q74_0005732-T1
snf1	Fxyl908|g12709.t1	H9Q74_014533-T1
sge1	Fxyl908|g2848.t1	H9Q74_0001496-T1
rho1.1	Fxyl908|g14059.t1	H9Q74_0001603-T1
OG0008649	Fxyl908|g3744.t1	H9Q74_0013107-T1
chlo_vacu	Fxyl908|g8447.t1	H9Q74_0002576-T1
FOXG_14254	Fxyl908|g10027.t1	H9Q74_0013465-T1
cytoskeletal	Fxyl908|g10883.t1	H9Q74_0009945-T1
OG0013477	Fxyl908|g5656.t1	H9Q74_0014203-T1
OG0013645	Fxyl908|g4873.t1	H9Q74_0003307-T1
OG0013738	Fxyl908|g5466.t1	H9Q74_0013486-T1
OG0013763	Fxyl908|g12457.t1	H9Q74_0007840-T1
OG0013787	Fxyl908|g2099.t1	H9Q74_0006808-T1
OG0013792	Fxyl908|g9232.t1	H9Q74_0012396-T1
OG0013861	Fxyl908|g6669.t1	
OG0013871	Fxyl908|g5805.t1	H9Q74_0010428-T1
OG0013877	Fxyl908|g2194.t1	H9Q74_0013741-T1
OG0013889	Fxyl908|g8235.t1	H9Q74_0002967-T1
OG0013912	Fxyl908|g942.t1	H9Q74_0009999-T1
OG0014179	Fxyl908|g12006.t1	H9Q74_0002246-T1
OG0014180	Fxyl908|g12004.t1	H9Q74_0002245-T1
OG0014238	Fxyl908|g12018.t1	H9Q74_0001110-T1
OG0014367	Fxyl908|g12244.t1	H9Q74_0002710-T1
OG0014392	Fxyl908|g8359.t1	H9Q74_0013239-T1
OG0014398	Fxyl908|g12452.t1	H9Q74_0007834-T1
OG0014797	Fxyl908|g1396.t1	H9Q74_0010781-T1
OG0014828	Fxyl908|g12038.t1	H9Q74_0010364-T3
OG0014864	Fxyl908|g2746.t1	H9Q74_0004912-T1
OG0014891	Fxyl908|g6048.t1	H9Q74_0007452-T1
OG0016212	Fxyl908|g7276.t1	H9Q74_0007989-T1
OG0016323	Fxyl908|g2510.t1	H9Q74_0010315-T1
OG0018531	Fxyl908|g3491.t1	H9Q74_0007513-T1
OG0018533	Fxyl908|g9297.t1	H9Q74_0012100-T1
OG0018547	Fxyl908|g4176.t1	H9Q74_0010900-T1
OG0018569	Fxyl908|g12591.t1	H9Q74_0012885-T1
pep1	Fxyl908|pep1;	
six7	Fxyl908|six7;	
