Chr	Start	End	Similarity
contig_1	0	10000	0.239
contig_1	10000	20000	0.9438
contig_1	20000	30000	0.9318
contig_1	30000	40000	0.1594
contig_1	40000	50000	0.9
contig_1	50000	60000	1
contig_1	60000	70000	1
contig_1	70000	80000	0.9749
contig_1	80000	90000	1
contig_1	90000	100000	1
contig_1	100000	110000	0.9998
contig_1	110000	120000	1
contig_1	120000	130000	1
contig_1	130000	140000	1
contig_1	140000	150000	1
contig_1	150000	160000	1
contig_1	160000	170000	1
contig_1	170000	180000	1
contig_1	180000	190000	1
contig_1	190000	200000	1
contig_1	200000	210000	1
contig_1	210000	220000	0.9575
contig_1	220000	230000	0.9141
contig_1	230000	240000	0.9994
contig_1	240000	250000	1
contig_1	250000	260000	0.9043
contig_1	260000	270000	0.5791
contig_1	270000	280000	1
contig_1	280000	290000	1
contig_1	290000	300000	1
contig_1	300000	310000	1
contig_1	310000	320000	1
contig_1	320000	330000	1
contig_1	330000	340000	0.9989
contig_1	340000	350000	0.6789
contig_1	350000	360000	0
contig_1	360000	370000	0
contig_1	370000	380000	0
contig_1	380000	390000	0.9721
contig_1	390000	400000	1
contig_1	400000	410000	1
contig_1	410000	420000	1
contig_1	420000	430000	0.6145
contig_1	430000	440000	0
contig_1	440000	450000	0.6552
contig_1	450000	460000	1
contig_1	460000	470000	1
contig_1	470000	480000	0.7344
contig_1	480000	490000	0.8689
contig_1	490000	500000	0.7949
contig_1	500000	510000	0.8799
contig_1	510000	520000	1
contig_1	520000	530000	1
contig_1	530000	540000	0.7673
contig_1	540000	550000	0.8025
contig_1	550000	560000	1
contig_1	560000	570000	1
contig_1	570000	580000	0.5315
contig_1	580000	590000	0.8645
contig_1	590000	600000	1
contig_1	600000	610000	0.8639
contig_1	610000	620000	0.0795
contig_1	620000	630000	0.0946
contig_1	630000	640000	1
contig_1	640000	650000	1
contig_1	650000	660000	1
contig_1	660000	670000	1
contig_1	670000	680000	1
contig_1	680000	690000	1
contig_1	690000	700000	1
contig_1	700000	710000	1
contig_1	710000	720000	1
contig_1	720000	730000	0.9179
contig_1	730000	740000	1
contig_1	740000	750000	1
contig_1	750000	760000	1
contig_1	760000	770000	1
