Name	Description
Fxyl908_contig-6	Fusarium xylarioides arabica
Fxyl038_contig-6	Fusarium xylarioides arabica
Fxyl563_contig-6	Fusarium xylarioides arabica
CP052908	Fusarium oxysporum f. sp. koae isolate 44 chromosome LSX
Fxyl563_contig-11	Fusarium xylarioides arabica
Fxyl038_contig-11	Fusarium xylarioides arabica
CP128292	Fusarium oxysporum strain Fo5176 chromosome 7
CP052043	Fusarium oxysporum Fo47 chromosome VI
CP052044	Fusarium oxysporum Fo47 chromosome VII
CP128291	Fusarium oxysporum strain Fo5176 chromosome 14
Fxyl908_contig-11	Fusarium xylarioides arabica
CP130309	Fusarium oxysporum f. sp. vasinfectum isolate ME23 chromosome 13
CP115882	Fusarium oxysporum f. sp. cubense strain race 4 chromosome 8
CP130303	Fusarium oxysporum f. sp. vasinfectum isolate ME23 chromosome 7
CP052903	Fusarium oxysporum f. sp. koae isolate 44 chromosome 9
CP128290	Fusarium oxysporum strain Fo5176 chromosome 9
CP052045	Fusarium oxysporum Fo47 chromosome VIII
CP130298	Fusarium oxysporum f. sp. vasinfectum isolate ME23 chromosome 2
CP079908	Fusarium verticillioides isolate ITEM 10027 chromosome 5
CP052893	Fusarium oxysporum isolate 170 chromosome 11
CP023106	Fusarium fujikuroi strain I1.3 chromosome VI
CP128298	Fusarium oxysporum strain Fo5176 chromosome 2
CP128295	Fusarium oxysporum strain Fo5176 chromosome 4
CP115877	Fusarium oxysporum f. sp. cubense strain race 4 chromosome 3
CP147679	Fusarium graminearum strain KSU23522 chromosome 3
CP128283	Fusarium oxysporum strain Fo5176 chromosome 16
XM_018392347	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_12533), mRNA"
XM_018394206	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_14138), partial mRNA"
CP128284	Fusarium oxysporum strain Fo5176 chromosome 10
CP128288	Fusarium oxysporum strain Fo5176 chromosome 11
CP130308	Fusarium oxysporum f. sp. vasinfectum isolate ME23 chromosome 12
CP128285	Fusarium oxysporum strain Fo5176 chromosome 13
CP052048	Fusarium oxysporum Fo47 chromosome XI
CP052894	Fusarium oxysporum isolate 170 chromosome 12
CP104057	Fusarium falciforme strain Fu3.1 chromosome 8
CP115884	Fusarium oxysporum f. sp. cubense strain race 4 chromosome 10
CP104063	Fusarium falciforme strain Fu3.1 chromosome 14
CP052907	Fusarium oxysporum f. sp. koae isolate 44 chromosome 13
CP052899	Fusarium oxysporum f. sp. koae isolate 44 chromosome 4
CP130304	Fusarium oxysporum f. sp. vasinfectum isolate ME23 chromosome 8
CP052892	Fusarium oxysporum isolate 170 chromosome 10
CP079915	Fusarium verticillioides isolate ITEM 10027 chromosome 12
CP064747	Fusarium culmorum strain Class2-1B chromosome 1
CP115883	Fusarium oxysporum f. sp. cubense strain race 4 chromosome 9
CP115881	Fusarium oxysporum f. sp. cubense strain race 4 chromosome 7
CP115880	Fusarium oxysporum f. sp. cubense strain race 4 chromosome 6
CP115879	Fusarium oxysporum f. sp. cubense strain race 4 chromosome 5
CP115878	Fusarium oxysporum f. sp. cubense strain race 4 chromosome 4
CP115876	Fusarium oxysporum f. sp. cubense strain race 4 chromosome 2
CP115875	Fusarium oxysporum f. sp. cubense strain race 4 chromosome 1
CP130301	Fusarium oxysporum f. sp. vasinfectum isolate ME23 chromosome 5
HF679025	"Fusarium fujikuroi IMI 58289 draft genome, chromosome FFUJ_chr03"
CP023091	Fusarium fujikuroi strain Augusto2 chromosome III
CP130305	Fusarium oxysporum f. sp. vasinfectum isolate ME23 chromosome 9
CP052900	Fusarium oxysporum f. sp. koae isolate 44 chromosome 5
CP130302	Fusarium oxysporum f. sp. vasinfectum isolate ME23 chromosome 6
CP130306	Fusarium oxysporum f. sp. vasinfectum isolate ME23 chromosome 10
CP128287	Fusarium oxysporum strain Fo5176 chromosome 17
CP115886	Fusarium oxysporum f. sp. cubense strain race 4 chromosome 12
CP052906	Fusarium oxysporum f. sp. koae isolate 44 chromosome 12
CP064754	Fusarium pseudograminearum strain Class2-1C chromosome 2
XM_031218019	"Fusarium odoratissimum NRRL 54006 uncharacterized protein (FOIG_16558), partial mRNA"
XM_031218020	"Fusarium odoratissimum NRRL 54006 uncharacterized protein (FOIG_16558), partial mRNA"
XM_018392348	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_12533), mRNA"
CP128310	Fusarium proliferatum strain NRRL62905 chromosome 11
CP104258	Fusarium vorosii strain RN1 chromosome 4
CP128296	Fusarium oxysporum strain Fo5176 chromosome 3
CP147678	Fusarium graminearum strain KSU23522 chromosome 2
LT222054	"Fusarium graminearum genome assembly, chromosome: II"
CP128282	Fusarium oxysporum strain Fo5176 chromosome 18
CP126886	Fusarium meridionale strain JX18-4 contig 3
CP104260	Fusarium vorosii strain W15A1 chromosome 2
CP104259	Fusarium vorosii strain W15A1 chromosome 1
CP104256	Fusarium vorosii strain RN1 chromosome 2
CP088257	Fusarium asiaticum strain KCTC 16664 chromosome 1
LN649229	"Fusarium venenatum strain A3/5 genome assembly, chromosome: I"
CP104261	Fusarium vorosii strain W15A1 chromosome 3
CP126885	Fusarium meridionale strain JX18-4 contig 2
CP088259	Fusarium asiaticum strain KCTC 16664 chromosome 3
CP052889	Fusarium oxysporum isolate 170 chromosome 7
CP088258	Fusarium asiaticum strain KCTC 16664 chromosome 2
LN649230	"Fusarium venenatum strain A3/5 genome assembly, chromosome: II"
CP052049	Fusarium oxysporum Fo47 chromosome XII
LT160066	"Fusarium oxysporum f. sp. niveum partial Fonsix6 gene for secreted in xylem protein, strain race 1"
CP104257	Fusarium vorosii strain RN1 chromosome 3
LT222055	"Fusarium graminearum genome assembly, chromosome: III"
XM_054704879	"Fusarium oxysporum Fo47 uncharacterized protein (FOBCDRAFT_39124), mRNA"
CP052895	Fusarium oxysporum isolate 170 chromosome 13
XM_018402082	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_21734), mRNA"
CP128305	Fusarium proliferatum strain NRRL62905 chromosome 6
CP130300	Fusarium oxysporum f. sp. vasinfectum isolate ME23 chromosome 4
CP128294	Fusarium oxysporum strain Fo5176 chromosome 5
CP052041	Fusarium oxysporum Fo47 chromosome IV
XM_018392450	"Fusarium oxysporum f. sp. lycopersici 4287 insulysin (FOXG_12622), mRNA"
XM_018392449	"Fusarium oxysporum f. sp. lycopersici 4287 insulysin (FOXG_12622), mRNA"
XM_018392448	"Fusarium oxysporum f. sp. lycopersici 4287 insulysin (FOXG_12622), mRNA"
CP052887	Fusarium oxysporum isolate 170 chromosome 4
CP052901	Fusarium oxysporum f. sp. koae isolate 44 chromosome 7
XM_046190778	"Fusarium redolens uncharacterized protein (BKA55DRAFT_545049), partial mRNA"
XM_031206999	"Fusarium odoratissimum NRRL 54006 uncharacterized protein (FOIG_07425), partial mRNA"
XM_031187553	"Fusarium oxysporum Fo47 uncharacterized protein (FOBCDRAFT_252613), partial mRNA"
XM_018402323	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_21944), mRNA"
XM_018403099	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_22692), partial mRNA"
XM_018401672	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_21339), partial mRNA"
XM_018401347	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_21016), partial mRNA"
XM_018401304	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_20975), partial mRNA"
