OG	old gene annot	new gene annot
six10	Fxyl563|g1616.t1	
pelD	Fxyl563|g1036.t1	V1217_004459-T1
fow1	Fxyl563|g14281.t1	V1217_013555-T1
pelA	Fxyl563|g12261.t1	V1217_014967-T1
fmk1	Fxyl563|g1109.t1	V1217_016313-T1
orx1	Fxyl563|g3190.t1	V1217_002381-T1
catalase-peroxidase	Fxyl563|g12205.t1	V1217_014428-T1
rho1.2	Fxyl563|g9607.t1	V1217_013972-T1
snf1	Fxyl563|g10429.t1	V1217_005049-T1
sge1	Fxyl563|g4897.t1	V1217_007948-T1
rho1.1	Fxyl563|g6555.t1	V1217_002427-T1
OG0008649	Fxyl563|g5705.t1	V1217_016206-T1
chlo_vacu	Fxyl563|g13367.t1	V1217_012661-T1
FOXG_14254	Fxyl563|g6105.t1	V1217_015569-T1
cytoskeletal	Fxyl563|g12159.t1	V1217_014111-T1
OG0013477	Fxyl563|g6093.t1	V1217_017133-T1
OG0013645	Fxyl563|g1981.t1	V1217_003111-T1
OG0013738	Fxyl563|g4274.t1	V1217_015838-T1
OG0013763	Fxyl563|g1877.t1	V1217_014678-T1
OG0013787	Fxyl563|g8243.t1	V1217_015885-T1
OG0013792	Fxyl563|g2732.t1	V1217_009931-T1
OG0013861	Fxyl563|g12513.t1	
OG0013871	Fxyl563|g739.t1	V1217_003388-T1
OG0013877	Fxyl563|g8864.t1	V1217_016733-T1
OG0013889	Fxyl563|g1154.t1	V1217_001717-T1
OG0013912	Fxyl563|g12435.t1	V1217_001679-T1
OG0014179	Fxyl563|g6909.t1	V1217_003004-T1
OG0014180	Fxyl563|g6906.t1	V1217_002997-T1
OG0014238	Fxyl563|g13663.t1	V1217_001166-T1
OG0014367	Fxyl563|g11798.t1	V1217_007374-T1
OG0014392	Fxyl563|g3448.t1	V1217_014808-T1
OG0014398	Fxyl563|g7458.t1	V1217_011695-T1
OG0014797	Fxyl563|g1139.t1	V1217_011947-T1
OG0014828	Fxyl563|g7298.t1	V1217_013807-T1
OG0014864	Fxyl563|g12534.t1	V1217_005692-T1
OG0014891	Fxyl563|g9063.t1	V1217_015791-T1
OG0016212	Fxyl563|g5042.t1	V1217_015294-T1
OG0016323	Fxyl563|g9867.t1	V1217_015278-T1
OG0018531	Fxyl563|g10083.t1	V1217_009133-T1
OG0018533	Fxyl563|g2726.t1	V1217_009924-T1
OG0018547	Fxyl563|g12981.t1	V1217_013418-T1
OG0018569	Fxyl563|g4318.t1	V1217_017001-T1
pep1	Fxyl563|pep1;	
six7	Fxyl563|six7;	
